event_id,team_id,team,ha,opponent,opp_id,team_score,opp_score,team_pen,team_pen_yds,opp_pen,opp_pen_yds,margin,one_score,line_details,spread,over_under,our_ml,opp_ml
401112204,213,Penn State,away,MD,120,59,0,7,81,9,85,59,False,PSU -6.5,6.5,61.0,-250,195
401112260,213,Penn State,home,PUR,2509,35,7,4,49,7,37,28,False,PSU -28.5,-28.5,55.5,-5450,1500
401112195,213,Penn State,away,IOWA,2294,17,12,8,80,1,5,5,True,PSU -3.5,3.5,43.5,-216,221
401112218,213,Penn State,away,MSU,127,28,7,9,104,4,31,21,False,PSU -5.5,5.5,42.0,-252,280
401112235,213,Penn State,away,MINN,135,26,31,4,45,5,40,-5,True,PSU -6.5,6.5,48.5,-262,209
401112166,213,Penn State,home,IND,84,34,27,1,0,5,27,7,True,PSU -15,-15.0,55.0,-753,498
401112261,213,Penn State,home,RUTG,164,27,6,3,30,6,57,21,False,PSU -39,-39.0,51.0,-200000,4000
401135277,213,Penn State,home,MEM,235,53,39,2,15,8,45,14,False,PSU -6.5,-6.5,59.5,-254,201
401247295,213,Penn State,away,IU,84,35,36,10,100,4,36,-1,True,PSU -6.5,6.5,61.5,-263,202
401247312,213,Penn State,home,MD,120,19,35,4,25,8,55,-16,False,PSU -27.5,-27.5,63.0,-2710,1157
401247320,213,Penn State,away,NEB,158,23,30,4,50,5,39,-7,True,PSU -2.5,2.5,57.5,-139,115
401247327,213,Penn State,home,IOWA,2294,21,41,2,15,6,45,-20,False,PSU -1,-1.0,45.5,-110,-112
401247336,213,Penn State,away,RUTG,164,23,7,2,20,3,30,16,False,PSU -13,13.0,51.0,-587,458
401247346,213,Penn State,home,MSU,127,39,24,5,45,8,62,15,False,PSU -14.5,-14.5,46.0,-627,443
401269381,213,Penn State,home,ILL,356,56,21,2,19,1,15,35,False,PSU -16,-16.0,52.5,-730,505
401282815,213,Penn State,away,WISC,275,16,10,7,79,7,42,6,True,WIS -5.5,-5.5,49.0,178,-220
401282816,213,Penn State,home,BALL,2050,44,13,6,62,5,57,31,False,PSU -22.5,-22.5,58.0,-2079,1046
401282070,213,Penn State,home,AUB,2,28,20,5,30,6,45,8,True,PSU -4,-4.0,52.5,-190,160
401282817,213,Penn State,home,VILL,222,38,17,3,35,4,50,21,False,PSU -29.5,-29.5,53.0,-7500,1733
401282729,213,Penn State,home,IU,84,24,0,5,37,3,20,24,False,PSU -12.5,-12.5,54.0,-501,369
401282758,213,Penn State,away,IOWA,2294,20,23,10,59,4,42,-3,True,IOWA -2.5,-2.5,41.0,118,-140
401282717,213,Penn State,home,ILL,356,18,20,7,81,4,50,-2,True,PSU -24.5,-24.5,45.5,-2958,1200
401282768,213,Penn State,away,MD,120,31,14,7,54,4,25,17,False,PSU -10,10.0,56.5,-402,304
401282818,213,Penn State,home,RUTG,164,28,0,4,50,8,55,28,False,PSU -14,-14.0,45.0,-681,478
401282785,213,Penn State,away,MSU,127,27,30,2,17,7,50,-3,True,PSU -4.5,4.5,51.5,-190,158
401331236,213,Penn State,away,ARK,8,10,24,3,10,6,40,-14,False,ARK -3.5,-3.5,51.0,137,-162
401405064,213,Penn State,away,PUR,2509,35,31,5,56,9,92,4,True,PSU -3.5,3.5,53.5,-173,144
401405080,213,Penn State,home,OHIO,195,46,10,4,35,3,35,36,False,PSU -28,-28.0,54.5,-5309,1600
401403882,213,Penn State,away,AUB,2,41,12,9,80,7,61,29,False,PSU -2.5,2.5,47.5,-136,114
401405098,213,Penn State,home,CMU,2117,33,14,5,45,8,80,19,False,PSU -28,-28.0,61.5,-7483,1725
401405105,213,Penn State,home,NU,77,17,7,7,55,2,10,10,False,PSU -25.5,-25.5,50.0,-4865,1458
401405120,213,Penn State,home,MINN,135,45,17,4,35,8,52,28,False,PSU -5,-5.0,43.0,-220,179
401405132,213,Penn State,away,IU,84,45,14,5,33,5,50,31,False,PSU -13.5,13.5,50.0,-563,411
401405140,213,Penn State,home,MD,120,30,0,6,65,7,70,30,False,PSU -10.5,-10.5,56.5,-407,314
401405147,213,Penn State,away,RUTG,164,55,10,4,40,4,25,45,False,PSU -18.5,18.5,45.0,-1170,698
401405154,213,Penn State,home,MSU,127,35,16,6,46,5,40,19,False,PSU -19,-19.0,54.5,-1155,726
401442014,213,Penn State,away,UTAH,254,35,21,3,33,4,25,14,False,PSU -1.5,1.5,55.0,-122,102
400868969,333,Alabama,home,USC,30,52,6,4,29,6,46,46,False,ALA -9,-9.0,,,
400868980,333,Alabama,home,WKU,98,38,10,12,84,2,16,28,False,ALA -24,-24.0,,,
