event_id,season,team,ha,margin,one_score,our_score,opp_score,off3conv,off3att,def3conv,def3att,sacks_taken,sacks_forced,spread,line_details,comp_att
401012302,2018,Georgia,home,28,False,41,13,6,11,3,12,1,1,-26.5,UGA -26.5,21/31
401012310,2018,Georgia,away,-20,False,16,36,5,14,6,19,3,3,7.0,UGA -7,16/34
401012320,2018,Georgia,home,19,False,36,17,8,14,4,12,1,1,-7.0,UGA -7,17/24
401012326,2018,Georgia,away,17,False,34,17,7,12,7,13,0,4,9.5,UGA -9.5,14/20
401012334,2018,Georgia,home,17,False,27,10,8,14,3,11,2,0,-13.0,UGA -13,15/23
401012341,2018,Georgia,home,39,False,66,27,4,6,4,13,1,3,-41.5,UGA -41.5,14/17
401012352,2018,Georgia,home,24,False,45,21,2,6,3,13,0,3,-17.0,UGA -17,15/19
401032086,2018,Georgia,home,-7,True,21,28,6,13,9,19,2,2,-13.0,UGA -13,20/34
401110732,2019,Georgia,away,24,False,30,6,1,7,3,14,0,2,23.5,UGA -23.5,15/23
401110776,2019,Georgia,home,46,False,63,17,8,10,6,16,1,6,-49.5,UGA -49.5,20/25
401110788,2019,Georgia,home,55,False,55,0,4,10,5,17,0,4,-33.0,UGA -33,26/33
401110800,2019,Georgia,home,6,True,23,17,4,11,4,13,0,0,-16.0,UGA -16,20/26
401110816,2019,Georgia,away,29,False,43,14,5,11,5,12,0,3,24.5,UGA -24.5,24/29
401110817,2019,Georgia,home,-3,True,17,20,9,18,5,17,3,0,-21.0,UGA -21,28/52
401110826,2019,Georgia,home,21,False,21,0,3,12,3,13,0,1,-24.0,UGA -24,9/12
401110838,2019,Georgia,away,7,True,24,17,12,18,2,9,0,2,6.5,UGA -6.5,20/30
401110845,2019,Georgia,home,27,False,27,0,8,18,4,14,1,2,-18.5,UGA -18.5,13/29
401110849,2019,Georgia,away,7,True,21,14,3,15,5,18,1,2,3.0,UGA -3,13/28
401110857,2019,Georgia,home,6,True,19,13,5,15,4,15,2,3,-12.0,UGA -12,11/23
401110867,2019,Georgia,away,45,False,52,7,7,13,3,17,1,1,28.5,UGA -28.5,16/32
401132981,2019,Georgia,away,-27,False,10,37,3,13,9,16,3,2,-7.0,LSU -7,20/43
401135289,2019,Georgia,away,12,False,26,14,5,16,8,18,3,3,-3.5,BAY -3.5,20/30
401237033,2020,Georgia,away,27,False,37,10,6,20,3,14,3,2,28.0,UGA -28,28/47
401237095,2020,Georgia,home,21,False,27,6,9,14,6,15,1,3,-7.5,UGA -7.5,17/28
401237103,2020,Georgia,home,23,False,44,21,8,16,4,17,1,5,-12.0,UGA -12,16/27
401237117,2020,Georgia,away,11,False,14,3,5,9,7,16,0,4,17.0,UGA -17,9/14
401237125,2020,Georgia,home,-16,False,28,44,2,13,7,16,3,1,-3.0,UGA -3,9/29
401237131,2020,Georgia,away,0,True,0,0,,,,,0,0,13.5,UGA -13.5,
401237139,2020,Georgia,home,7,True,31,24,8,13,7,13,3,2,-26.5,UGA -26.5,28/38
401237145,2020,Georgia,away,29,False,45,16,8,10,4,13,2,4,22.0,UGA -22,10/16
401237152,2020,Georgia,home,0,True,0,0,,,,,0,0,-35.5,UGA -35.5,
401267161,2020,Georgia,away,35,False,49,14,8,13,3,11,2,1,14.0,UGA -14,16/28
401267167,2020,Georgia,home,0,True,0,0,,,,,0,0,-38.5,UGA -38.5,
401256108,2020,Georgia,away,3,True,24,21,1,11,3,14,3,8,-7.0,CIN -7,27/39
401281946,2021,Clemson,home,-7,True,3,10,5,16,7,15,7,1,-2.5,CLEM -2.5,19/37
401282060,2021,Georgia,home,49,False,56,7,6,11,1,11,0,3,-22.5,UGA -22.5,14/22
401282072,2021,Georgia,home,27,False,40,13,9,12,8,17,1,2,-31.5,UGA -31.5,24/35
401282088,2021,Georgia,away,62,False,62,0,6,14,2,13,0,1,36.0,UGA -36,21/28
401282090,2021,Georgia,home,37,False,37,0,4,12,3,12,0,4,-16.5,UGA -16.5,7/11
401282097,2021,Georgia,away,24,False,34,10,5,12,5,18,1,4,14.5,UGA -14.5,14/21
401282105,2021,Georgia,home,17,False,30,13,2,7,9,19,1,3,-21.5,UGA -21.5,14/20
401282117,2021,Georgia,away,27,False,34,7,4,9,4,13,1,2,14.0,UGA -14,10/19
401282122,2021,Georgia,home,37,False,43,6,4,9,6,17,0,2,-40.0,UGA -40,20/30
401282133,2021,Georgia,away,24,False,41,17,5,12,9,20,2,6,19.5,UGA -19.5,17/29
401282136,2021,Georgia,home,49,False,56,7,6,13,3,20,0,4,-52.5,UGA -52.5,20/37
401282148,2021,Georgia,away,45,False,45,0,2,5,5,14,1,3,35.5,UGA -35.5,14/20
401403858,2022,Georgia,home,46,False,49,3,9,10,7,15,0,0,-16.0,UGA -16,30/37
401403872,2022,Georgia,home,33,False,33,0,5,13,1,13,1,1,-53.0,UGA -53,29/43
401403888,2022,Georgia,away,41,False,48,7,5,9,4,13,0,0,25.5,UGA -25.5,21/30
